[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		6
[runlim] argv[2]:		0
[runlim] start:			Thu Aug 26 16:22:21 2021
[runlim] main pid:		52506
[runlim] sample:		10.0 time, 10.7 real, 5.5 MB
[runlim] sample:		19.9 time, 20.7 real, 6.3 MB
[runlim] sample:		29.9 time, 30.7 real, 6.8 MB
[runlim] sample:		39.9 time, 40.7 real, 7.3 MB
[runlim] sample:		49.9 time, 50.7 real, 7.8 MB
[runlim] sample:		59.9 time, 60.7 real, 8.1 MB
[runlim] sample:		69.9 time, 70.7 real, 8.6 MB
[runlim] sample:		79.9 time, 80.7 real, 8.8 MB
[runlim] sample:		89.8 time, 90.7 real, 9.1 MB
[runlim] sample:		99.8 time, 100.7 real, 9.4 MB
[runlim] sample:		109.8 time, 110.7 real, 9.6 MB
[runlim] sample:		119.8 time, 120.7 real, 9.6 MB
[runlim] sample:		129.8 time, 130.7 real, 9.9 MB
[runlim] sample:		139.8 time, 140.7 real, 10.1 MB
[runlim] sample:		149.8 time, 150.7 real, 10.4 MB
[runlim] sample:		159.8 time, 160.7 real, 10.4 MB
[runlim] sample:		169.8 time, 170.7 real, 10.6 MB
[runlim] sample:		179.7 time, 180.7 real, 10.9 MB
[runlim] sample:		189.7 time, 190.7 real, 10.9 MB
[runlim] sample:		199.7 time, 200.7 real, 11.2 MB
[runlim] sample:		209.7 time, 210.7 real, 11.2 MB
[runlim] sample:		219.7 time, 220.7 real, 11.4 MB
[runlim] sample:		229.7 time, 230.7 real, 11.4 MB
[runlim] sample:		239.7 time, 240.7 real, 11.7 MB
[runlim] sample:		249.6 time, 250.7 real, 11.7 MB
[runlim] sample:		259.6 time, 260.7 real, 11.9 MB
[runlim] sample:		269.6 time, 270.7 real, 11.9 MB
[runlim] sample:		279.6 time, 280.7 real, 12.2 MB
[runlim] sample:		289.6 time, 290.7 real, 12.2 MB
[runlim] sample:		299.6 time, 300.7 real, 12.5 MB
[runlim] sample:		309.6 time, 310.7 real, 12.5 MB
[runlim] sample:		319.6 time, 320.7 real, 12.5 MB
