[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		7
[runlim] argv[2]:		7
[runlim] start:			Sun Aug 29 00:24:20 2021
[runlim] main pid:		5673
[runlim] sample:		10.0 time, 10.4 real, 5.5 MB
[runlim] sample:		20.0 time, 20.4 real, 6.3 MB
[runlim] sample:		30.0 time, 30.4 real, 6.8 MB
[runlim] sample:		40.0 time, 40.4 real, 7.3 MB
[runlim] sample:		49.9 time, 50.4 real, 7.5 MB
[runlim] sample:		59.9 time, 60.4 real, 8.1 MB
[runlim] sample:		69.9 time, 70.4 real, 8.3 MB
[runlim] sample:		79.9 time, 80.4 real, 8.6 MB
[runlim] sample:		89.9 time, 90.4 real, 8.8 MB
[runlim] sample:		99.9 time, 100.4 real, 8.8 MB
[runlim] sample:		109.8 time, 110.4 real, 9.1 MB
[runlim] sample:		119.8 time, 120.4 real, 9.4 MB
[runlim] sample:		129.8 time, 130.4 real, 9.6 MB
[runlim] sample:		139.8 time, 140.4 real, 9.9 MB
[runlim] sample:		149.8 time, 150.4 real, 9.9 MB
[runlim] sample:		159.8 time, 160.4 real, 10.1 MB
[runlim] sample:		169.8 time, 170.4 real, 10.1 MB
[runlim] sample:		179.8 time, 180.4 real, 10.4 MB
[runlim] sample:		189.7 time, 190.4 real, 10.4 MB
[runlim] sample:		199.7 time, 200.4 real, 10.6 MB
[runlim] sample:		209.7 time, 210.4 real, 10.6 MB
[runlim] sample:		219.7 time, 220.4 real, 10.9 MB
[runlim] sample:		229.7 time, 230.4 real, 10.9 MB
[runlim] sample:		239.7 time, 240.4 real, 11.2 MB
[runlim] sample:		249.7 time, 250.4 real, 11.2 MB
[runlim] sample:		259.6 time, 260.4 real, 11.4 MB
[runlim] sample:		269.6 time, 270.4 real, 11.4 MB
[runlim] sample:		279.6 time, 280.4 real, 11.7 MB
[runlim] sample:		289.6 time, 290.4 real, 11.7 MB
[runlim] sample:		299.6 time, 300.4 real, 11.9 MB
[runlim] sample:		309.6 time, 310.4 real, 11.9 MB
[runlim] sample:		319.6 time, 320.4 real, 11.9 MB
