[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		6
[runlim] argv[2]:		2
[runlim] start:			Thu Aug 26 17:45:35 2021
[runlim] main pid:		52746
[runlim] sample:		10.0 time, 10.6 real, 5.6 MB
[runlim] sample:		20.0 time, 20.6 real, 6.4 MB
[runlim] sample:		30.0 time, 30.6 real, 7.2 MB
[runlim] sample:		40.0 time, 40.6 real, 7.7 MB
[runlim] sample:		50.0 time, 50.6 real, 8.2 MB
[runlim] sample:		60.0 time, 60.6 real, 8.5 MB
[runlim] sample:		69.9 time, 70.6 real, 8.7 MB
[runlim] sample:		79.9 time, 80.6 real, 9.0 MB
[runlim] sample:		89.9 time, 90.6 real, 9.2 MB
[runlim] sample:		99.9 time, 100.6 real, 9.5 MB
[runlim] sample:		109.9 time, 110.6 real, 9.8 MB
[runlim] sample:		119.9 time, 120.6 real, 10.0 MB
[runlim] sample:		129.9 time, 130.6 real, 10.3 MB
[runlim] sample:		139.9 time, 140.6 real, 10.3 MB
[runlim] sample:		149.8 time, 150.6 real, 10.5 MB
[runlim] sample:		159.8 time, 160.6 real, 10.8 MB
[runlim] sample:		169.8 time, 170.6 real, 10.8 MB
[runlim] sample:		179.8 time, 180.6 real, 11.0 MB
[runlim] sample:		189.8 time, 190.6 real, 11.0 MB
[runlim] sample:		199.8 time, 200.6 real, 11.3 MB
[runlim] sample:		209.8 time, 210.6 real, 11.3 MB
[runlim] sample:		219.8 time, 220.6 real, 11.6 MB
[runlim] sample:		229.8 time, 230.6 real, 11.8 MB
[runlim] sample:		239.8 time, 240.6 real, 11.8 MB
[runlim] sample:		249.7 time, 250.6 real, 12.1 MB
[runlim] sample:		259.7 time, 260.6 real, 12.1 MB
[runlim] sample:		269.7 time, 270.6 real, 12.3 MB
[runlim] sample:		279.7 time, 280.6 real, 12.3 MB
[runlim] sample:		289.7 time, 290.6 real, 12.3 MB
[runlim] sample:		299.7 time, 300.6 real, 12.6 MB
[runlim] sample:		309.7 time, 310.6 real, 12.6 MB
[runlim] sample:		319.7 time, 320.6 real, 12.8 MB
