[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		7
[runlim] argv[2]:		0
[runlim] start:			Thu Aug 26 19:10:54 2021
[runlim] main pid:		52848
[runlim] sample:		10.0 time, 10.5 real, 17.4 MB
[runlim] sample:		20.0 time, 20.5 real, 24.1 MB
[runlim] sample:		30.0 time, 30.5 real, 28.4 MB
[runlim] sample:		40.0 time, 40.5 real, 31.3 MB
[runlim] sample:		49.9 time, 50.5 real, 33.6 MB
[runlim] sample:		59.9 time, 60.5 real, 35.7 MB
[runlim] sample:		69.9 time, 70.5 real, 36.9 MB
[runlim] sample:		79.9 time, 80.5 real, 38.2 MB
[runlim] sample:		89.9 time, 90.5 real, 39.5 MB
[runlim] sample:		99.9 time, 100.5 real, 41.1 MB
[runlim] sample:		109.9 time, 110.5 real, 42.9 MB
[runlim] sample:		119.9 time, 120.5 real, 43.9 MB
[runlim] sample:		129.9 time, 130.5 real, 45.2 MB
[runlim] sample:		139.8 time, 140.5 real, 46.5 MB
[runlim] sample:		149.8 time, 150.5 real, 47.8 MB
[runlim] sample:		159.8 time, 160.5 real, 49.1 MB
[runlim] sample:		169.8 time, 170.5 real, 49.8 MB
[runlim] sample:		179.8 time, 180.5 real, 50.6 MB
[runlim] sample:		189.8 time, 190.5 real, 51.4 MB
[runlim] sample:		199.8 time, 200.5 real, 52.2 MB
[runlim] sample:		209.8 time, 210.5 real, 52.9 MB
[runlim] sample:		219.8 time, 220.5 real, 53.4 MB
[runlim] sample:		229.8 time, 230.5 real, 54.5 MB
[runlim] sample:		239.7 time, 240.5 real, 55.2 MB
[runlim] sample:		249.7 time, 250.5 real, 55.8 MB
[runlim] sample:		259.7 time, 260.5 real, 56.5 MB
[runlim] sample:		269.7 time, 270.5 real, 57.6 MB
[runlim] sample:		279.7 time, 280.5 real, 58.1 MB
[runlim] sample:		289.7 time, 290.5 real, 58.9 MB
[runlim] sample:		299.7 time, 300.5 real, 59.4 MB
[runlim] sample:		309.7 time, 310.5 real, 60.1 MB
[runlim] sample:		319.6 time, 320.5 real, 60.9 MB
[runlim] sample:		329.6 time, 330.5 real, 61.4 MB
[runlim] sample:		339.6 time, 340.5 real, 62.0 MB
[runlim] sample:		349.6 time, 350.5 real, 62.5 MB
[runlim] sample:		359.6 time, 360.5 real, 63.2 MB
[runlim] sample:		369.6 time, 370.5 real, 64.0 MB
[runlim] sample:		379.6 time, 380.5 real, 64.5 MB
[runlim] sample:		389.6 time, 390.5 real, 65.6 MB
[runlim] sample:		399.6 time, 400.5 real, 66.3 MB
[runlim] sample:		409.6 time, 410.5 real, 66.9 MB
[runlim] sample:		419.6 time, 420.5 real, 67.6 MB
[runlim] sample:		429.5 time, 430.5 real, 68.4 MB
[runlim] sample:		439.5 time, 440.5 real, 68.9 MB
[runlim] sample:		449.5 time, 450.5 real, 69.4 MB
[runlim] sample:		459.5 time, 460.5 real, 69.9 MB
[runlim] sample:		469.5 time, 470.5 real, 70.5 MB
[runlim] sample:		479.5 time, 480.5 real, 71.2 MB
[runlim] sample:		489.5 time, 490.5 real, 71.8 MB
[runlim] sample:		499.5 time, 500.5 real, 72.3 MB
[runlim] sample:		509.5 time, 510.5 real, 72.8 MB
[runlim] sample:		519.5 time, 520.5 real, 73.3 MB
[runlim] sample:		529.4 time, 530.5 real, 73.8 MB
[runlim] sample:		539.4 time, 540.5 real, 74.6 MB
[runlim] sample:		549.4 time, 550.5 real, 75.1 MB
[runlim] sample:		559.4 time, 560.5 real, 75.6 MB
[runlim] sample:		569.4 time, 570.5 real, 75.9 MB
[runlim] sample:		579.4 time, 580.5 real, 76.6 MB
[runlim] end:			Thu Aug 26 19:20:43 2021
[runlim] status:		ok
[runlim] result:		0
[runlim] children:		0
[runlim] real:			589.11 seconds
[runlim] time:			587.98 seconds
[runlim] space:			152.8 MB
[runlim] samples:		5886
