[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		12
[runlim] argv[2]:		0
[runlim] start:			Wed Sep  1 02:00:22 2021
[runlim] main pid:		15443
[runlim] sample:		10.0 time, 10.3 real, 283.0 MB
[runlim] sample:		20.0 time, 20.3 real, 517.4 MB
[runlim] sample:		30.0 time, 30.3 real, 738.1 MB
[runlim] sample:		40.0 time, 40.3 real, 950.8 MB
[runlim] sample:		50.0 time, 50.3 real, 1158.1 MB
[runlim] sample:		59.9 time, 60.3 real, 1424.6 MB
[runlim] sample:		69.9 time, 70.3 real, 1736.6 MB
[runlim] sample:		79.9 time, 80.3 real, 3124.9 MB
[runlim] sample:		89.9 time, 90.3 real, 3139.3 MB
[runlim] sample:		99.9 time, 100.3 real, 3139.3 MB
[runlim] end:			Wed Sep  1 02:02:02 2021
[runlim] status:		ok
[runlim] result:		0
[runlim] children:		0
[runlim] real:			100.59 seconds
[runlim] time:			100.09 seconds
[runlim] space:			3139.3 MB
[runlim] samples:		1002
