[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		11
[runlim] argv[2]:		2
[runlim] argv[3]:		1
[runlim] start:			Wed Sep  1 01:38:24 2021
[runlim] main pid:		14265
[runlim] sample:		10.0 time, 10.4 real, 308.6 MB
[runlim] sample:		20.0 time, 20.4 real, 563.1 MB
[runlim] sample:		30.0 time, 30.4 real, 811.6 MB
[runlim] sample:		40.0 time, 40.4 real, 1060.4 MB
[runlim] sample:		50.0 time, 50.4 real, 1309.2 MB
[runlim] sample:		60.0 time, 60.4 real, 1525.0 MB
[runlim] sample:		70.0 time, 70.4 real, 1851.1 MB
[runlim] sample:		79.9 time, 80.4 real, 2131.9 MB
[runlim] sample:		89.9 time, 90.4 real, 3157.0 MB
[runlim] sample:		99.9 time, 100.4 real, 3750.5 MB
[runlim] sample:		109.9 time, 110.4 real, 3750.5 MB
[runlim] sample:		119.9 time, 120.4 real, 3750.5 MB
[runlim] sample:		129.9 time, 130.4 real, 3750.5 MB
[runlim] sample:		139.9 time, 140.4 real, 3750.5 MB
[runlim] sample:		149.9 time, 150.4 real, 3750.5 MB
[runlim] sample:		159.9 time, 160.4 real, 3750.5 MB
[runlim] sample:		169.9 time, 170.4 real, 3750.5 MB
[runlim] sample:		179.9 time, 180.4 real, 3750.5 MB
[runlim] sample:		189.9 time, 190.4 real, 3750.5 MB
[runlim] sample:		199.9 time, 200.4 real, 3750.5 MB
[runlim] sample:		209.8 time, 210.4 real, 3750.5 MB
[runlim] sample:		219.8 time, 220.4 real, 3750.5 MB
[runlim] sample:		229.8 time, 230.4 real, 3750.5 MB
[runlim] sample:		239.8 time, 240.4 real, 3750.5 MB
[runlim] sample:		249.8 time, 250.4 real, 3750.5 MB
[runlim] sample:		259.8 time, 260.4 real, 3750.5 MB
[runlim] sample:		269.8 time, 270.4 real, 3750.5 MB
[runlim] sample:		279.8 time, 280.4 real, 3750.5 MB
[runlim] sample:		289.8 time, 290.4 real, 3750.5 MB
[runlim] sample:		299.8 time, 300.4 real, 3750.5 MB
[runlim] sample:		309.8 time, 310.4 real, 3750.5 MB
[runlim] sample:		319.8 time, 320.4 real, 3750.5 MB
[runlim] sample:		329.8 time, 330.4 real, 3750.5 MB
[runlim] sample:		339.8 time, 340.4 real, 3750.5 MB
[runlim] sample:		349.8 time, 350.4 real, 3750.5 MB
[runlim] sample:		359.8 time, 360.4 real, 3750.5 MB
[runlim] sample:		369.7 time, 370.4 real, 3750.5 MB
[runlim] sample:		379.7 time, 380.4 real, 3750.8 MB
[runlim] sample:		389.7 time, 390.4 real, 3751.3 MB
[runlim] sample:		399.7 time, 400.4 real, 3752.1 MB
[runlim] sample:		409.7 time, 410.4 real, 3752.1 MB
[runlim] sample:		419.7 time, 420.4 real, 3752.1 MB
[runlim] sample:		429.7 time, 430.4 real, 3752.1 MB
[runlim] sample:		439.7 time, 440.4 real, 3752.1 MB
[runlim] sample:		449.7 time, 450.4 real, 3752.1 MB
[runlim] sample:		459.7 time, 460.4 real, 3752.1 MB
[runlim] sample:		469.7 time, 470.4 real, 3752.1 MB
[runlim] sample:		479.7 time, 480.4 real, 3752.1 MB
[runlim] sample:		489.7 time, 490.4 real, 3752.1 MB
[runlim] sample:		499.6 time, 500.4 real, 3752.2 MB
[runlim] end:			Wed Sep  1 01:46:45 2021
[runlim] status:		ok
[runlim] result:		0
[runlim] children:		0
[runlim] real:			501.08 seconds
[runlim] time:			500.25 seconds
[runlim] space:			3752.2 MB
[runlim] samples:		5006
