[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		10
[runlim] argv[2]:		2
[runlim] argv[3]:		4
[runlim] start:			Wed Sep  1 01:14:04 2021
[runlim] main pid:		13153
[runlim] sample:		10.0 time, 10.1 real, 383.7 MB
[runlim] sample:		20.0 time, 20.1 real, 741.3 MB
[runlim] sample:		30.0 time, 30.1 real, 1096.3 MB
[runlim] sample:		40.0 time, 40.1 real, 1443.9 MB
[runlim] sample:		50.0 time, 50.1 real, 1776.4 MB
[runlim] sample:		60.0 time, 60.1 real, 2104.4 MB
[runlim] sample:		69.9 time, 70.1 real, 2443.9 MB
[runlim] sample:		79.9 time, 80.1 real, 2806.1 MB
[runlim] sample:		89.9 time, 90.1 real, 3123.3 MB
[runlim] sample:		99.9 time, 100.1 real, 3398.9 MB
[runlim] sample:		109.9 time, 110.1 real, 4129.2 MB
[runlim] sample:		119.9 time, 120.1 real, 6168.0 MB
[runlim] sample:		146.3 time, 130.1 real, 6287.4 MB
[runlim] sample:		185.3 time, 140.1 real, 6287.4 MB
[runlim] sample:		224.8 time, 150.1 real, 6287.4 MB
[runlim] sample:		260.5 time, 160.1 real, 6287.4 MB
[runlim] sample:		299.1 time, 170.1 real, 6287.4 MB
[runlim] sample:		337.9 time, 180.1 real, 6287.4 MB
[runlim] sample:		376.0 time, 190.1 real, 6287.4 MB
[runlim] sample:		410.0 time, 200.1 real, 6287.5 MB
[runlim] sample:		449.0 time, 210.1 real, 6287.5 MB
[runlim] sample:		485.9 time, 220.1 real, 6288.0 MB
[runlim] sample:		517.1 time, 230.1 real, 6288.3 MB
[runlim] sample:		555.6 time, 240.1 real, 6288.3 MB
[runlim] sample:		594.9 time, 250.1 real, 6288.3 MB
[runlim] sample:		633.6 time, 260.1 real, 6288.3 MB
[runlim] sample:		671.4 time, 270.1 real, 6288.3 MB
[runlim] sample:		710.8 time, 280.1 real, 6288.3 MB
[runlim] sample:		748.5 time, 290.1 real, 6288.3 MB
[runlim] sample:		787.0 time, 300.1 real, 6288.3 MB
[runlim] sample:		825.8 time, 310.1 real, 6288.3 MB
[runlim] sample:		862.5 time, 320.1 real, 6288.5 MB
[runlim] sample:		900.7 time, 330.1 real, 6288.5 MB
[runlim] sample:		939.7 time, 340.1 real, 6289.0 MB
[runlim] sample:		976.3 time, 350.1 real, 6289.0 MB
[runlim] sample:		1015.4 time, 360.1 real, 6289.0 MB
[runlim] sample:		1054.3 time, 370.1 real, 6289.3 MB
[runlim] sample:		1091.8 time, 380.1 real, 6289.3 MB
[runlim] sample:		1130.0 time, 390.1 real, 6289.3 MB
[runlim] sample:		1167.4 time, 400.1 real, 6289.3 MB
[runlim] sample:		1205.4 time, 410.1 real, 6289.3 MB
[runlim] sample:		1242.7 time, 420.1 real, 6289.3 MB
[runlim] sample:		1281.7 time, 430.1 real, 6289.3 MB
[runlim] sample:		1317.8 time, 440.1 real, 6289.5 MB
[runlim] sample:		1356.3 time, 450.1 real, 6289.5 MB
[runlim] sample:		1394.6 time, 460.1 real, 6289.5 MB
[runlim] sample:		1432.9 time, 470.1 real, 6289.5 MB
[runlim] sample:		1468.8 time, 480.1 real, 6291.1 MB
[runlim] sample:		1504.0 time, 490.1 real, 6291.1 MB
[runlim] sample:		1542.0 time, 500.1 real, 6291.4 MB
[runlim] sample:		1574.9 time, 510.1 real, 6291.4 MB
[runlim] sample:		1613.7 time, 520.1 real, 6291.4 MB
[runlim] sample:		1649.8 time, 530.1 real, 6294.0 MB
[runlim] sample:		1688.1 time, 540.1 real, 6294.0 MB
[runlim] sample:		1725.0 time, 550.1 real, 6294.0 MB
[runlim] sample:		1762.1 time, 560.1 real, 6294.0 MB
[runlim] sample:		1799.1 time, 570.1 real, 6294.5 MB
[runlim] sample:		1833.9 time, 580.1 real, 6294.5 MB
[runlim] sample:		1870.6 time, 590.1 real, 6294.5 MB
[runlim] sample:		1906.5 time, 600.1 real, 6294.5 MB
[runlim] sample:		1943.9 time, 610.1 real, 6294.5 MB
[runlim] sample:		1979.2 time, 620.1 real, 6297.1 MB
[runlim] sample:		2015.0 time, 630.1 real, 6299.2 MB
[runlim] sample:		2052.5 time, 640.1 real, 6299.2 MB
[runlim] sample:		2087.7 time, 650.1 real, 6301.7 MB
[runlim] sample:		2124.8 time, 660.1 real, 6301.7 MB
[runlim] sample:		2159.3 time, 670.1 real, 6301.9 MB
[runlim] sample:		2192.1 time, 680.1 real, 6307.5 MB
[runlim] sample:		2228.2 time, 690.1 real, 6307.5 MB
[runlim] sample:		2254.9 time, 700.1 real, 6308.5 MB
[runlim] end:			Wed Sep  1 01:25:50 2021
[runlim] status:		ok
[runlim] result:		0
[runlim] children:		0
[runlim] real:			706.41 seconds
[runlim] time:			2261.22 seconds
[runlim] space:			6308.5 MB
[runlim] samples:		7063
